Graficar despejando Y
X:930	y1:542,4097	y2:513,5903
X:931	y1:545,1328	y2:510,8672
X:932	y1:547,3782	y2:508,6219
X:933	y1:549,3132	y2:506,6868
X:934	y1:551,0238	y2:504,9762
X:935	y1:552,561	y2:503,439
X:936	y1:553,9583	y2:502,0417
X:937	y1:555,2388	y2:500,7611
X:938	y1:556,4197	y2:499,5803
X:939	y1:557,5136	y2:498,4864
X:940	y1:558,5307	y2:497,4693
X:941	y1:559,4788	y2:496,5212
X:942	y1:560,3644	y2:495,6356
X:943	y1:561,1929	y2:494,8071
X:944	y1:561,9688	y2:494,0313
X:945	y1:562,6956	y2:493,3044
X:946	y1:563,3766	y2:492,6234
X:947	y1:564,0147	y2:491,9853
X:948	y1:564,6121	y2:491,3879
X:949	y1:565,171	y2:490,829
X:950	y1:565,6931	y2:490,3069
X:951	y1:566,1801	y2:489,8199
X:952	y1:566,6333	y2:489,3667
X:953	y1:567,054	y2:488,946
X:954	y1:567,4433	y2:488,5567
X:955	y1:567,8021	y2:488,1979
X:956	y1:568,1313	y2:487,8687
X:957	y1:568,4318	y2:487,5682
X:958	y1:568,704	y2:487,296
X:959	y1:568,9487	y2:487,0513
X:960	y1:569,1663	y2:486,8337
X:961	y1:569,3574	y2:486,6427
X:962	y1:569,5222	y2:486,4778
X:963	y1:569,6611	y2:486,3389
X:964	y1:569,7744	y2:486,2256
X:965	y1:569,8622	y2:486,1377
X:966	y1:569,9249	y2:486,0751
X:967	y1:569,9625	y2:486,0375
X:968	y1:569,975	y2:486,025
X:969	y1:569,9625	y2:486,0375
X:970	y1:569,9249	y2:486,0751
X:971	y1:569,8622	y2:486,1377
X:972	y1:569,7744	y2:486,2256
X:973	y1:569,6611	y2:486,3389
X:974	y1:569,5222	y2:486,4778
X:975	y1:569,3574	y2:486,6427
X:976	y1:569,1663	y2:486,8337
X:977	y1:568,9487	y2:487,0513
X:978	y1:568,704	y2:487,296
X:979	y1:568,4318	y2:487,5682
X:980	y1:568,1313	y2:487,8687
X:981	y1:567,8021	y2:488,1979
X:982	y1:567,4433	y2:488,5567
X:983	y1:567,054	y2:488,946
X:984	y1:566,6333	y2:489,3667
X:985	y1:566,1801	y2:489,8199
X:986	y1:565,6931	y2:490,3069
X:987	y1:565,171	y2:490,829
X:988	y1:564,6121	y2:491,3879
X:989	y1:564,0147	y2:491,9853
X:990	y1:563,3766	y2:492,6234
X:991	y1:562,6956	y2:493,3044
X:992	y1:561,9688	y2:494,0313
X:993	y1:561,1929	y2:494,8071
X:994	y1:560,3644	y2:495,6356
X:995	y1:559,4788	y2:496,5
