Graficar despejando Y
X:-5	Y:-21		Xg:-50	Yg:-210
X:-4,99	Y:-20,9101		Xg:-49,9	Yg:-209,101
X:-4,98	Y:-20,8204		Xg:-49,8	Yg:-208,204
X:-4,969999	Y:-20,73089		Xg:-49,69999	Yg:-207,3089
X:-4,959999	Y:-20,64159		Xg:-49,59999	Yg:-206,4159
X:-4,949999	Y:-20,55249		Xg:-49,49999	Yg:-205,5249
X:-4,939999	Y:-20,46359		Xg:-49,39999	Yg:-204,6359
X:-4,929998	Y:-20,37489		Xg:-49,29998	Yg:-203,7489
X:-4,919998	Y:-20,28638		Xg:-49,19998	Yg:-202,8638
X:-4,909998	Y:-20,19808		Xg:-49,09998	Yg:-201,9808
X:-4,899998	Y:-20,10998		Xg:-48,99998	Yg:-201,0998
X:-4,889997	Y:-20,02208		Xg:-48,89997	Yg:-200,2208
X:-4,879997	Y:-19,93438		Xg:-48,79997	Yg:-199,3438
X:-4,869997	Y:-19,84687		Xg:-48,69997	Yg:-198,4688
X:-4,859997	Y:-19,75957		Xg:-48,59997	Yg:-197,5957
X:-4,849997	Y:-19,67247		Xg:-48,49997	Yg:-196,7247
X:-4,839996	Y:-19,58557		Xg:-48,39996	Yg:-195,8557
X:-4,829996	Y:-19,49887		Xg:-48,29996	Yg:-194,9887
X:-4,819996	Y:-19,41236		Xg:-48,19996	Yg:-194,1237
X:-4,809996	Y:-19,32606		Xg:-48,09996	Yg:-193,2606
X:-4,799995	Y:-19,23996		Xg:-47,99995	Yg:-192,3996
X:-4,789995	Y:-19,15406		Xg:-47,89995	Yg:-191,5406
X:-4,779995	Y:-19,06836		Xg:-47,79995	Yg:-190,6836
X:-4,769995	Y:-18,98285		Xg:-47,69995	Yg:-189,8286
X:-4,759995	Y:-18,89755		Xg:-47,59995	Yg:-188,9755
X:-4,749994	Y:-18,81245		Xg:-47,49994	Yg:-188,1245
X:-4,739994	Y:-18,72755		Xg:-47,39994	Yg:-187,2755
X:-4,729994	Y:-18,64285		Xg:-47,29994	Yg:-186,4285
X:-4,719994	Y:-18,55835		Xg:-47,19994	Yg:-185,5835
X:-4,709993	Y:-18,47404		Xg:-47,09993	Yg:-184,7404
X:-4,699993	Y:-18,38994		Xg:-46,99993	Yg:-183,8994
X:-4,689993	Y:-18,30604		Xg:-46,89993	Yg:-183,0604
X:-4,679993	Y:-18,22234		Xg:-46,79993	Yg:-182,2234
X:-4,669992	Y:-18,13884		Xg:-46,69992	Yg:-181,3884
X:-4,659992	Y:-18,05553		Xg:-46,59992	Yg:-180,5553
X:-4,649992	Y:-17,97243		Xg:-46,49992	Yg:-179,7243
X:-4,639992	Y:-17,88953		Xg:-46,39992	Yg:-178,8953
X:-4,629992	Y:-17,80683		Xg:-46,29992	Yg:-178,0683
X:-4,619991	Y:-17,72433		Xg:-46,19991	Yg:-177,2433
X:-4,609991	Y:-17,64203		Xg:-46,09991	Yg:-176,4203
